Instance,IR,NG,PS,PC,PM,NMP,Time,Accuracy
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.65,0.15,0.7,33.0433978,96.91114026305796
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.65,0.3,0.4,253.0379878,99.78671916656413
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.65,0.3,0.4,2.7094405,98.54528866136145
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.65,0.3,0.4,30.3311697,96.46925812131045
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.65,0.3,0.6,0.7244477,99.23711086501784
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.65,0.3,0.6,2.7693184,98.10093432679473
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.65,0.3,0.6,18.3586077,96.47184727448476
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.65,0.3,0.7,0.8159388,99.60625076904147
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.65,0.3,0.7,2.6085552,98.72607160356159
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.65,0.3,0.7,19.6061532,96.58318086097974
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.8,0.1,0.4,0.7115894,99.45449325294287
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.8,0.1,0.4,2.7183378,98.656799635055
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.8,0.1,0.4,18.8643506,97.3961749577105
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.8,0.1,0.6,0.6904317,99.68418030433534
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR10x250\OR10x250-0.25_1.dat,0.6,200,500,0.8,0.1,0.6,2.4822443,98.80041225269063
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR30x500\OR30x500-0.25_1.dat,0.6,200,500,0.8,0.1,0.6,18.2259311,97.8173438740636
C:\Users\USER\Desktop\my_projects\optimization_with_java\All-MKP-Instances\chubeas\OR5x100\OR5x100-0.25_1.dat,0.6,200,500,0.8,0.1,0.7,0.6268872,99.2248062015504
